评价时间,门店名称,商品名,商品评分,评价内容,追评内容,商家回复,折叠评价,评价审核状态
2026-07-01,煌上煌酱鸭（ 澄湖左岸店）,手撕酱鸭炒饭1份 1份,1.0,"饭馊了，吃了一口就停了，实在没法下咽。
菜是热的，但饭明显不对劲，闻着就不新鲜一股馊味。
骑手准时送达，包装也没问题，就是这饭&hellip;&hellip;唉。
下次还是换个别的吧 😅 😅",,,正常,待审核
2026-07-01,煌上煌酱鸭(赣州厚德路店),[甜蜜酸爽]糖醋排骨 约250克,1.0,肉少，基本都是骨头，完全就是吃糖和粉。差评,,,正常,未举报
2026-07-01,煌上煌酱鸭（ 澄湖左岸店）,手撕酱鸭炒饭1份 1份,1.0,发酸了 饭 &nbsp;发酸了 发酸了,,,正常,待审核
2026-07-01,煌上煌酱鸭(龙华观澜章阁店),香卤鸭脖（香辣） 小份200克,2.0,#香卤鸭脖（香辣） 小份200克#口感不好  还是冻的,,感谢您愿意指出我们的不足，这对小店至关重要。我们已针对您反馈的问题启动内部优化，并会持续跟踪效果。期待未来有机会用更好的出品和服务，重新赢得您的信任。也欢迎您随时监督&mdash;&mdash;您的每一次反馈，我们都认真对待。,正常,未举报
2026-07-01,煌上煌酱鸭（福田新洲七街专卖店）,半只煌家酱鸭（切块） 香辣,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-01,煌上煌酱鸭（江铃臻园店）,麻辣小鸭掌 约120g,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-02,煌上煌酱鸭（福田水围专卖店）,煌上煌招牌鸭鸭翅中4个 4个麻辣鸭翅中,1.0,我点的是不辣的鸭翅，他给我送了个辣的,,,正常,未举报
2026-07-02,煌上煌酱鸭(南宁航洋国际专卖店),香卤牛肉（香辣） 中份约160克,3.0,不新鲜，牛肉有味，发酸,,,正常,未举报
2026-07-02,煌上煌酱鸭(东莞厚街汉邦广场店),蒜香无骨凤爪（微辣） 小份约130克,5.0,此用户未填写评价内容,,,正常,未举报
2026-07-02,煌上煌酱鸭（直属新建2店）,[脆爽鲜香]耳丝 约250克,5.0,包装精美，分量足，下次还来,,,正常,未举报
