平台,日期,评价时间,门店,城市,总体评分,口味评分,包装评分,配送评分,配送满意度,评价内容,回复,点赞,点踩,申诉,关键词,商品明细
美团,2026-07-04,2026-07-04T23:14:59,煌上煌酱鸭(福田区农林店),深圳,5.0,5.0,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"煌上煌手撕酱鸭炒饭1盒(微辣),单价15.6*数量1"
美团,2026-07-05,2026-07-05T10:57:43,煌上煌酱鸭(叠山路店),南昌,,,4.0,5.0,满意,香辣味美 好吃 下次还会点的,nan,nan,nan,nan,nan,"[味美鲜香]腐竹(约350克（大份）),单价17.8*数量1/酱香牛肉串(约130克（小份）),单价28.8*数量1"
美团,2026-07-04,2026-07-04T09:31:53,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,这包煌上煌酱鸭看着就挺有食欲，包装严实，没漏气也没破损。撕开闻了下，酱香浓郁，辣味适中，吃起来肉质紧实，嚼劲足。骑手送得也快，货品完好，服务到位?。下次还想再买！！,nan,nan,nan,nan,nan,"手撕酱鸭充氮装(酱辣味)200g(400克),单价49.8*数量1"
美团,2026-07-02,2026-07-02T08:49:14,煌上煌酱鸭(叠山路店),南昌,,,5.0,1.0,不满意,nan,nan,nan,nan,nan,nan,nan
美团,2026-07-01,2026-07-01T23:02:23,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,抱着试试的态度点了一份外卖，没想到味道超级好，这家店已经列入了我无限回购的列表,nan,nan,nan,nan,nan,"[进店必买]手撕酱鸭(约180克（中份）,香辣),单价39.8*数量1"
美团,2026-07-01,2026-07-01T19:23:32,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,"配送速度非常快。这个手撕鸭味道真的太好了。鸭脖还是一如既往的好吃
",nan,nan,nan,nan,nan,"[进店必买]手撕酱鸭(约130克（小份）,香辣),单价30.8*数量1/[味美鲜香]腐竹(约180克（小份）),单价9.9*数量1/[有嚼劲啃到爽]鸭脖(约130克（小份）,酱香),单价17.8*数量1"
美团,2026-07-11,2026-07-11T11:06:51,煌上煌酱鸭(福田区农林店),深圳,,,5.0,1.0,不满意,nan,nan,nan,nan,nan,nan,nan
美团,2026-07-11,2026-07-11T07:53:16,煌上煌酱鸭(福田区农林店),深圳,,,5.0,5.0,满意,不错,nan,nan,nan,nan,nan,"酱香鸭脖(香辣)(小份(约180g)),单价22.6*数量1/香卤鸭脖(不辣)(特小份(约120g)),单价15.4*数量1"
美团,2026-07-11,2026-07-11T19:56:10,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,一直吃的，江西老牌子了,nan,nan,nan,nan,nan,"[进店必买]手撕酱鸭(约250克（大份）,香辣),单价53.8*数量1"
美团,2026-07-10,2026-07-10T12:03:20,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[嘎嘎好吃]牛肉(约250克（大份）,香卤牛肉,切开),单价54.8*数量1"
美团,2026-07-08,2026-07-08T16:31:39,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,油比较多，味道还可以,nan,nan,nan,nan,nan,"[进店必买]手撕酱鸭(约130克（小份）,酱香),单价30.8*数量1"
美团,2026-07-14,2026-07-14T23:54:20,煌上煌酱鸭(叠山路店),南昌,,,5.0,5.0,满意,nan,nan,nan,nan,nan,nan,"[个大肉多]鸭翅中(约130克（小份）,甜椒),单价14.8*数量1/酱香鹌鹑(1只),单价8.0*数量1/[素卤菜拼盘]8.9吃5种(200克),单价8.9*数量1"
