门店ID,门店名称,分公司,战区,省区,办事处,门店状态,门店类型,加盟&直营,门店分类,美团id,饿了么id,京东秒送id,微盟小程序id,口碑id,美团团购id,抖音id,快手id,高德平台id,TCODE,是否能做线上
C00002,直属总社,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,3632202,506358037,14270465.0,6013965557849,147067,71045336,6601165487734786055,6724909397161789354,2026031211077000000115301301|xiniu_xgc_bgc,1,是
C00003,直属东湖,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,3632196,502522594,14270458.0,6014198126849,147237,29624,6601200937530820621,3003666597569664634,,1,是
C00005,直属洪都,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15765636,931871,14305195.0,6014197849849,147275,1922439087,7186939767345383428,3003194353276921306,2026031211077000000115353236|xiniu_xgc_bgc,1,是
C00006,直属高新,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,直营,街铺,13809789,506194544,14270466.0,6014199038849,147230,1700761384,7057412106370418719,6724909544071705705,2026031211077000000115273299|xiniu_xgc_bgc,1,是
C00007,直属二七路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15933854,161779863,14520831.0,6013968019849,147278,29492,6601143522043103240,6724909544063883164,2026031211077000000115368232|xiniu_xgc_bgc,1,是
C00008,直属新村,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,直营,街铺,16728225,2075812230,14262389.0,6014195476849,326819,1993720109,7207349423678949431,3003654670203000086,2026031211077000000115267300|xiniu_xgc_bgc,1,是
C00009,直属董家窑,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,8557118,336568420,14311014.0,6014197848849,147258,29636,6601187949331613703,6724909444846234322,,1,是
C00010,直属贤士路,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15933128,507607150,14331983.0,6014197540849,147257,29626,6601152838716360707,6724909544062113732,2026031211077000000115376216|xiniu_xgc_bgc,1,是
C00011,直属广外,江西公司,南昌一战区,江西二区,南昌三办,正常营业,专卖店,直营,街铺,15166005,1123078851,14745038.0,6013968713849,147243,159400160,6601141919818975246,3003810034396041337,,1,是
C00012,直属中山路,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,直营,街铺,3632195,506642980,,6013966323849,147226,29637.0,,,,1,是
