平台,平台ID,门店名称,C门店ID,C门店名称,最新评分,有订单,匹配状态
美团,10025474,煌上煌酱鸭(吉安城南市场店),C07606,吉安城南市场店,4.2,True,✅成功
美团,10046757,煌上煌酱鸭（会昌新天地店）,C07960,赣州会昌新天地店,4.3,True,✅成功
美团,10052945,煌上煌酱鸭（龙华牛栏前店）,C05908,宝安龙华牛栏前店,4.5,True,✅成功
美团,10052957,煌上煌酱鸭(华为湖岸花园店),C07605,东莞华为湖岸花园店,4.6,True,✅成功
美团,10088996,煌上煌酱鸭（龙岗中心城店?卤味?鸭脖?小吃）,C08045,龙岗中心城店,4.8,True,✅成功
美团,10117835,煌上煌酱鸭(昌江广百汇店),C08088,昌江广百汇店,3.7,True,✅成功
美团,10131922,煌上煌酱鸭（天佑路店）,C07760,天佑路店,4.5,True,✅成功
美团,1016735,煌上煌酱鸭(东莞塘厦万科店),C02232,东莞塘厦悦港汇店,0.0,False,✅成功
美团,10180134,煌上煌酱鸭（娄底万豪店）,C04120,娄底万豪店,4.6,True,✅成功
美团,10209227,煌上煌酱鸭（普宁里湖店）,C08101,揭阳普宁里湖店,4.3,False,✅成功
美团,10211328,煌上煌酱鸭（吉安凯旋世纪国光店）,C08076,吉安凯旋世纪国光店,4.3,True,✅成功
美团,10211481,煌上煌酱鸭（东莞高埗挺拇指店）,C08142,东莞高埗挺拇指专卖店,0.0,False,✅成功
美团,10212820,煌上煌酱鸭（九江满庭春店）,C08100,九江满庭春店,4.3,True,✅成功
美团,10257672,煌上煌酱鸭（万润城店）,C08234,惠州博罗龙溪万润城店,0.0,False,✅成功
美团,1037542,煌上煌酱鸭（鄱阳建设路店）,C13821,上饶鄱阳建设路壹店,0.0,False,✅成功
美团,10383223,煌上煌酱鸭（卤味.酒料.新亨店）,C08311,揭阳揭东新亨店,4.7,True,✅成功
美团,10410586,煌上煌（卤味·大连商场店）,C04764,直属大连商场店,4.6,True,✅成功
美团,10464635,煌上煌酱鸭（惠州惠城中信水岸城店）,C10499,惠州惠城中信水岸城店,4.5,True,✅成功
美团,10485516,煌上煌酱鸭（富盛店）,C07294,邵东荷田路店,4.5,True,✅成功
美团,10616307,煌上煌酱鸭（东莞茶山碧桂园店）,C12240,东莞茶山茶兴路店,4.8,True,✅成功
美团,10663968,煌上煌酱鸭（南城盱江北大道店）,C00908,抚南南城县盱江北大道店,4.5,True,✅成功
美团,10686349,煌上煌酱鸭（永新世纪华联店）,C03600,吉安永新世纪华联店,4.0,True,✅成功
美团,10699571,煌上煌酱鸭(鸭脖?卤味?加州城店),C02617,福州福清加洲城店,4.9,True,✅成功
美团,10702544,煌上煌酱鸭（宁德古田鹤塘店）,C02882,宁德古田鹤塘店,0.0,True,✅成功
美团,10710419,煌上煌酱鸭（佳乐家新安店）,C08443,潍坊安丘佳乐家新安店,4.1,True,✅成功
