平台,平台ID,C门店ID,最新评分,有订单
美团,10025474,C07606,4.2,True
美团,10046757,C07960,4.3,True
美团,10052945,C05908,4.5,True
美团,10052957,C07605,4.6,True
美团,10088996,C08045,4.8,True
美团,10117835,C08088,3.7,True
美团,10131922,C07760,4.5,True
美团,1016735,C02232,0.0,False
美团,10180134,C04120,4.6,True
美团,10209227,C08101,4.3,False
美团,10211328,C08076,4.3,True
美团,10211481,C08142,0.0,False
美团,10212820,C08100,4.3,True
美团,10257672,C08234,0.0,False
美团,1037542,C13821,0.0,False
美团,10383223,C08311,4.7,True
美团,10410586,C04764,4.6,True
美团,10464635,C10499,4.5,True
美团,10485516,C07294,4.5,True
美团,10616307,C12240,4.8,True
美团,10663968,C00908,4.5,True
美团,10686349,C03600,4.0,True
美团,10699571,C02617,4.9,True
美团,10702544,C02882,0.0,True
美团,10710419,C08443,4.1,True
美团,1073274,C01152,0.0,True
美团,10734164,C08374,4.8,True
美团,10770216,C02329,0.0,False
美团,10770217,C02046,4.7,True
美团,10770283,C08423,4.6,True
美团,10817151,C02203,4.5,True
美团,10890319,C00479,0.0,True
美团,10911956,C07901,4.4,True
美团,10917066,C08553,4.9,True
美团,10939628,C13270,4.6,True
美团,10979238,C03607,4.4,True
美团,11024319,C07923,0.0,True
美团,11028681,C08646,4.3,True
美团,11035464,C08597,4.7,True
美团,1103577,C02341,4.6,True
美团,11147407,C07662,0.0,False
美团,11154517,C08708,4.5,True
美团,1126687,C01093,4.0,True
美团,11341541,C03188,4.7,True
美团,11437757,C08504,4.5,True
美团,1145459,C02872,4.7,True
美团,11485413,C09104,4.4,True
美团,1158330,C03020,4.8,True
美团,11616645,C08895,4.2,True
美团,1174524,C02087,4.8,True
美团,11765852,C09015,0.0,False
美团,1176632,C00475,0.0,False
美团,1182775,C00713,3.7,False
美团,11838514,C00455,4.7,True
美团,11838517,C00456,4.7,True
美团,11838521,C00512,0.0,True
美团,11948784,C08735,3.4,True
美团,1205341,C00959,4.2,False
美团,12111662,C09010,4.1,True
美团,12150133,C09023,4.6,True
美团,12192708,C09146,4.4,True
美团,12315719,C03991,3.9,True
美团,12366975,C09198,4.6,True
美团,12393944,C08581,4.2,True
美团,1244998,C14250,4.6,True
美团,1254023,C01083,4.4,False
美团,12745836,C09238,4.5,True
美团,1277982,C01139,4.8,True
美团,12785680,C09267,4.2,True
美团,12785684,C06682,0.0,True
美团,12792576,C13951,0.0,False
美团,1281149,C02253,4.5,True
美团,12839898,C09310,4.7,False
美团,12840741,C02252,4.6,True
美团,12850678,C13068,4.2,True
美团,12897407,C07666,4.0,True
美团,12897510,C09404,4.3,True
美团,12919795,C08340,4.5,True
美团,12919796,C04363,4.8,True
美团,13036643,C09523,4.7,True
美团,13040350,C02011,4.6,True
美团,13041427,C09505,4.6,True
美团,13041429,C09402,0.0,False
美团,1306834,C00463,4.7,True
美团,13102695,C00711,3.9,True
美团,13110756,C09001,0.0,False
美团,13114411,C09391,0.0,True
美团,13125640,C09342,4.7,True
美团,13130349,C00871,0.0,True
美团,1315610,C00712,4.4,True
美团,13172635,C09409,0.0,False
美团,13196551,C09549,4.1,True
美团,13202393,C12878,4.3,True
美团,13202571,C04267,4.5,True
美团,13207652,C09566,0.0,False
美团,13207839,C09594,0.0,False
美团,13213587,C08466,0.0,False
美团,13215959,C09547,4.7,True
美团,13226973,C02456,4.6,True
美团,13256987,C08122,4.1,True
美团,13261185,C09403,4.8,True
美团,13285416,C02893,4.5,True
美团,13383568,C09229,4.5,True
美团,13385552,C02916,3.9,True
美团,13404401,C08881,0.0,True
美团,13448520,C09431,4.6,True
美团,13474337,C09693,0.0,False
美团,13492369,C09646,4.7,True
美团,13527977,C09704,3.0,True
美团,13534399,C09703,0.0,False
美团,13553252,C00952,4.3,True
美团,13650478,C09801,0.0,False
美团,13653715,C05477,4.6,True
美团,13691178,C00526,4.3,True
美团,13712478,C11498,4.5,True
美团,13723993,C00470,4.2,True
美团,1376286,C01121,4.7,True
美团,13791264,C00746,0.0,True
美团,13801066,C09764,4.5,True
美团,13807540,C09502,0.0,False
美团,13807541,C11441,3.9,True
美团,13809789,C00006,4.7,True
美团,13840377,C09712,0.0,False
美团,13858356,C09394,4.5,True
美团,13860762,C00126,4.7,True
美团,13860852,C09039,4.4,True
美团,13863517,C02135,4.4,True
美团,13876673,C09784,0.0,False
美团,13886370,C04225,4.6,True
美团,1389435,C02229,4.4,True
美团,13899823,C00503,0.0,True
美团,13899902,C00828,4.5,True
美团,13900074,C09673,4.3,True
美团,13987511,C03106,4.7,True
美团,14016567,C02003,0.0,True
美团,14016570,C06423,4.2,True
美团,14016862,C05093,0.0,True
美团,14021138,C09919,4.4,True
美团,14082776,C01075,0.0,False
美团,14108869,C09685,4.4,True
